166,Army Green,Pink,Phoneme Wah,Angry,Silver Hoop,Black T,Sushi Chef Headband
167,Yellow,Black,Bored,Coins,Silver Hoop,Puffy Vest,Irish Boho
168,Army Green,Black,Phoneme  ooo,Sad,Silver Hoop,Tanktop,Fisherman's Hat
169,Blue,White,Dumbfounded,Bored,None,Smoking Jacket,Faux Hawk
170,Army Green,Cream,Phoneme  ooo,Heart,None,Guayabera,Sea Captain's Hat
171,Yellow,Brown,Bored Unshaven,Closed,None,Service,None
172,Yellow,Black,Bored Unshaven,Bloodshot,None,None,Bayc Flipped Brim
173,Yellow,Blue,Bored,Bored,None,Guayabera,Bayc Flipped Brim
174,Aquamarine,Pink,Rage,Bloodshot,Gold Hoop,Black Holes T,Bowler
175,Aquamarine,Black,Bored,Scumbag,Silver Hoop,Service,None
176,Yellow,Black,Phoneme  ooo,Coins,None,Puffy Vest,Bowler
177,Army Green,Dark Brown,Grin,Heart,None,Blue Dress,Sushi Chef Headband
178,Aquamarine,Tan,Bored Unshaven,Sleepy,Silver Hoop,Puffy Vest,Girl's Hair Pink
179,Army Green,Blue,Bored,Sad,None,Bayc T Black,Bowler
180,Gray,Cream,Bored Cigarette,Zombie,None,Biker Vest,Seaman's Hat
181,Aquamarine,Dmt,Bored,Crazy,Silver Stud,Leather Punk Jacket,None
182,Army Green,Black,Bored,Bloodshot,None,Lumberjack Shirt,Seaman's Hat
183,Yellow,Brown,Bored,Sleepy,Gold Stud,Bone Tee,None
184,Gray,White,Bored Unshaven,X Eyes,None,Rainbow Suspenders,Prussian Helmet
185,Orange,Zombie,Bored Cigarette,Blue Beams,None,Cowboy Shirt,Fez
186,Gray,Golden Brown,Bored,Closed,None,Wool Turtleneck,Army Hat
187,Purple,Dmt,Bored Unshaven,Bloodshot,Silver Hoop,Biker Vest,Halo
188,Gray,White,Bored,Sleepy,Silver Hoop,Prom Dress,Fisherman's Hat
189,Army Green,White,Bored Unshaven,Closed,Cross,None,Prussian Helmet
190,Yellow,Brown,Bored,Bored,None,None,Girl's Hair Short
191,New Punk Blue,Dark Brown,Bored,3d,None,None,Halo
192,Yellow,Dark Brown,Phoneme Vuh,Bored,None,None,None
193,Gray,Cream,Rage,Laser Eyes,None,Bone Necklace,None
194,Purple,Brown,Dumbfounded,Bloodshot,None,Black T,None
