222,18.995,,,,,,,,,,,,,
223,1.75,,,,,,,,,,,,,
224,0.33,,,,,,,,,,,,,
225,0,,,,,,,,,,,,,
226,1.74,4,,,,,,,,,,,,
227,,,,,,,,,,,,,,
228,8.88,,,,,,,,,,,,,
229,6.45,,,,,,,,,,,,,
230,8,15.49,13.65,41,,,,,,,,,,
231,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,
236,0.6,,,,,,,,,,,,,
237,28,74,,,,,,,,,,,,
238,,,,,,,,,,,,,,
239,0.25,0.45,,,,,,,,,,,,
240,0.7995,30,,,,,,,,,,,,
241,4.6,4.83,10.5,14.95,14.97,,,,,,,,,
242,,,,,,,,,,,,,,
243,1.488,0.8888,,,,,,,,,,,,
244,0.55,,,,,,,,,,,,,
245,1,3.99,,,,,,,,,,,,
246,0.75,,,,,,,,,,,,,
247,1.25,1.75,15,47.5,,,,,,,,,,
248,0.85,2.2,,,,,,,,,,,,
249,0.2,0.6999,0.63,,,,,,,,,,,
250,0.142,0.3333,13.65,14.49,,,,,,,,,,
251,0.35,0.8999,1.05,0.844,,,,,,,,,,
252,0.55,1.2,4.5,18.5,,,,,,,,,,
253,2.1,45,49.7,,,,,,,,,,,
254,0.833,,,,,,,,,,,,,
255,,,,,,,,,,,,,,
256,1.9,,,,,,,,,,,,,
257,19.3,,,,,,,,,,,,,
258,6,12,,,,,,,,,,,,
259,5,8.3,,,,,,,,,,,,
260,3.14,3.152,3.2999,3.6999,46.5,,,,,,,,,
261,4.7,,,,,,,,,,,,,
262,3.72,,,,,,,,,,,,,
263,3.63,,,,,,,,,,,,,
264,105,,,,,,,,,,,,,
265,24.7,,,,,,,,,,,,,
266,8.3,,,,,,,,,,,,,
267,4.5,,,,,,,,,,,,,
268,0.833,1.31,,,,,,,,,,,,
269,0.833,,,,,,,,,,,,,
270,4.54,7.7777,60,,,,,,,,,,,
271,4.5,,,,,,,,,,,,,
272,6.5,,,,,,,,,,,,,
273,,,,,,,,,,,,,,
274,37,,,,,,,,,,,,,
275,0.65,,,,,,,,,,,,,
276,15,,,,,,,,,,,,,
277,8,,,,,,,,,,,,,
278,0.59,0.44,1,,,,,,,,,,,
279,1.5,7.9,51.9,,,,,,,,,,,
280,0.6,0.57,1.29,,,,,,,,,,,
281,0.3557,,,,,,,,,,,,,
282,0.371,0.5,,,,,,,,,,,,
283,0.2797,0.53,8.6,,,,,,,,,,,
284,0.375,,,,,,,,,,,,,
285,0.15,0.3999,0.6,0.69,,,,,,,,,,
286,,,,,,,,,,,,,,
287,0.808,,,,,,,,,,,,,
288,12.88,,,,,,,,,,,,,
289,1.1,16.6,,,,,,,,,,,,
290,7,,,,,,,,,,,,,
291,,,,,,,,,,,,,,
292,,,,,,,,,,,,,,
293,0.33,6.2,,,,,,,,,,,,
294,,,,,,,,,,,,,,
295,0.08,0.29,0.29,8.69,45,,,,,,,,,
296,,,,,,,,,,,,,,
297,,,,,,,,,,,,,,
298,,,,,,,,,,,,,,
299,0.462,0.4999,6.69,6.9,,,,,,,,,,
300,0.59,2.1,5,5.65,6.38,30.45,39.696969,,,,,,,
301,13.69,,,,,,,,,,,,,
302,0.4,7.5,38,,,,,,,,,,,
303,,,,,,,,,,,,,,
304,,,,,,,,,,,,,,
305,0.4,43.88,,,,,,,,,,,,
306,0.8,,,,,,,,,,,,,
307,,,,,,,,,,,,,,
308,,,,,,,,,,,,,,
309,50,,,,,,,,,,,,,
310,7,,,,,,,,,,,,,
311,,,,,,,,,,,,,,
312,1.1,,,,,,,,,,,,,
313,0.268,0.6999,2.129837971,,,,,,,,,,,
314,7,13.85,22.3,,,,,,,,,,,
315,37,75,,,,,,,,,,,,
316,7,8,,,,,,,,,,,,
317,,,,,,,,,,,,,,
318,1.7,2.0999,5.85E-09,4.99,12,39.5,,,,,,,,
319,2.55,3.98,,,,,,,,,,,,
320,2.05,2.8999,,,,,,,,,,,,
321,0.244,0.37,2.89,,,,,,,,,,,
322,0.3,0.5999,5.18,4.99,,,,,,,,,,
323,0.33,,,,,,,,,,,,,
324,2.5,4,5,10.75,15.5,59,,,,,,,,
325,2.25,3.75,2.97675,8.5,,,,,,,,,,
326,,,,,,,,,,,,,,
327,55,41,34,,,,,,,,,,,
328,0.328,0.3874620906,34.9,,,,,,,,,,,
329,0.329,0.535,,,,,,,,,,,,
330,0.3888,15.25,42,,,,,,,,,,,
331,42.069,,,,,,,,,,,,,
332,6,7,9.98,16,,,,,,,,,,
333,23,,,,,,,,,,,,,
334,21,40,,,,,,,,,,,,
335,18.75,38,,,,,,,,,,,,
336,21,,,,,,,,,,,,,
337,0.5,6.95,,,,,,,,,,,,
338,2.94,,,,,,,,,,,,,
339,,,,,,,,,,,,,,
340,0.35,3.5,9,20,44,,,,,,,,,
341,,,,,,,,,,,,,,
342,0.4,10,16,,,,,,,,,,,
343,0.35,8,40.28,,,,,,,,,,,
344,0.239,0.399,,,,,,,,,,,,
345,0.58,1.75,1.925,,,,,,,,,,,
346,0.3,0.7999,1.1,2.7,,,,,,,,,,
347,0.36,,,,,,,,,,,,,
348,0.3,0.7999,,,,,,,,,,,,
349,1.02,1.2635,2.19,2.7,,,,,,,,,,
350,1.3,4.9999,25,69,,,,,,,,,,
351,0.208,0.5999,32.5171,39.99,,,,,,,,,,
352,0.69,0.72,,,,,,,,,,,,
353,,,,,,,,,,,,,,
354,41,,,,,,,,,,,,,
355,0.68,,,,,,,,,,,,,
356,,,,,,,,,,,,,,
357,33,45,,,,,,,,,,,,
358,30,,,,,,,,,,,,,
359,0.45,4.45,6.749,18,13.9,,,,,,,,,
360,0.97,,,,,,,,,,,,,
361,1.5,2.2,2.85,,,,,,,,,,,
362,0.44625,4.5,6.3,7,,,,,,,,,,
363,0.5,,,,,,,,,,,,,
364,0.51,0.61,22.22,50,,,,,,,,,,
365,1,1.2,7.777,8.49,14.9,,,,,,,,,
366,,,,,,,,,,,,,,
367,13.7,36.75,,,,,,,,,,,,
368,0.22,7,,,,,,,,,,,,
369,3.6,,,,,,,,,,,,,
370,,,,,,,,,,,,,,
371,0.9,,,,,,,,,,,,,
372,,,,,,,,,,,,,,
373,0.4,0.38,4.25,7,,,,,,,,,,
374,0.469,0.66,0.85,,,,,,,,,,,
375,30.304,,,,,,,,,,,,,
376,0.48,6.9,12,14.85,52.8,63.8,,,,,,,,
377,0.25,0.38,1.6,,,,,,,,,,,
378,0.75,,,,,,,,,,,,,
379,,,,,,,,,,,,,,
380,3.5,,,,,,,,,,,,,
381,1.42,7.7,,,,,,,,,,,,
382,22,35.3,39.5,,,,,,,,,,,
383,,,,,,,,,,,,,,
384,0.15,27,48,99.99,,,,,,,,,,
385,0.3,0.7,,,,,,,,,,,,
386,0.1,1.5,16.62387578,,,,,,,,,,,
387,0.1,0.4,0.69,1.45,2.39,,,,,,,,,
388,0.5489,0.55,1.79,4,5.588,8,,,,,,,,
389,0.5,,,,,,,,,,,,,
390,0.333,0.4294217995,,,,,,,,,,,,
391,1.69,2.75,,,,,,,,,,,,
392,0.46,0.599,,,,,,,,,,,,
393,,,,,,,,,,,,,,
394,,,,,,,,,,,,,,
395,,,,,,,,,,,,,,
396,,,,,,,,,,,,,,
397,0.2,,,,,,,,,,,,,
398,,,,,,,,,,,,,,
399,,,,,,,,,,,,,,
400,5,60,,,,,,,,,,,,
401,0.321,0.64,,,,,,,,,,,,
402,0.19,0.59,,,,,,,,,,,,
403,1.85,1.9,,,,,,,,,,,,
404,8.3,9,12,17.5,,,,,,,,,,
405,0.49,0.9,3.3,4.75,9.5,,,,,,,,,
406,,,,,,,,,,,,,,
407,0.38,,,,,,,,,,,,,
408,0.239,0.23,,,,,,,,,,,,
409,7.5,,,,,,,,,,,,,
410,7.4,9.45,16,,,,,,,,,,,
411,3.9,4.25,2.99,6.2,9.5,14.1,,,,,,,,
412,0.7486963767,1.75,1.99,3.25,6,,,,,,,,,
413,,,,,,,,,,,,,,
414,,,,,,,,,,,,,,
415,,,,,,,,,,,,,,
416,,,,,,,,,,,,,,
417,0.5,,,,,,,,,,,,,
418,0.342,0.7,,,,,,,,,,,,
419,,,,,,,,,,,,,,
420,,,,,,,,,,,,,,
421,1.4,6,18.5,,,,,,,,,,,
422,2.4,4.65,,,,,,,,,,,,
423,,,,,,,,,,,,,,
424,2.8,4.3,,,,,,,,,,,,
425,,,,,,,,,,,,,,
426,0.232,0.6,,,,,,,,,,,,
427,1.807,3.5555,,,,,,,,,,,,
428,0.9157073171,0.98,1.25,3,,,,,,,,,,
429,1.05,,,,,,,,,,,,,
430,1.7,2.1999,4,5,,,,,,,,,,
431,1.11,1.9,3,3.29,,,,,,,,,,
432,1.7,2.1,4.34,3.3,4.8,,,,,,,,,
433,3,3.3,3.55,,,,,,,,,,,
434,2.2,3.6,,,,,,,,,,,,
435,,,,,,,,,,,,,,
436,0.7569,4.1,5.4,11.7,12,42.5,75,,,,,,,
437,0.7569,,,,,,,,,,,,,
438,1,1.5,,,,,,,,,,,,
439,3,6.45,39.9,,,,,,,,,,,
440,0.3,0.45,0.75,32.511,35.95,,,,,,,,,
441,,,,,,,,,,,,,,
442,1.878,41.9,,,,,,,,,,,,
443,0.33,2.656,3.6999,,,,,,,,,,,
444,,,,,,,,,,,,,,
445,1.04,1.37,1.6,2,15.25,,,,,,,,,
446,,,,,,,,,,,,,,
447,20,29.8,32.9,38.99,,,,,,,,,,
448,1.5,1.8,1.98,4,9.8,,,,,,,,,
449,,,,,,,,,,,,,,
450,,,,,,,,,,,,,,
451,,,,,,,,,,,,,,
452,62,,,,,,,,,,,,,
453,10,,,,,,,,,,,,,
454,17,39,,,,,,,,,,,,
455,,,,,,,,,,,,,,
456,3,3.9,,,,,,,,,,,,
457,1,45,,,,,,,,,,,,
458,,,,,,,,,,,,,,
459,,,,,,,,,,,,,,
460,,,,,,,,,,,,,,
461,,,,,,,,,,,,,,
462,,,,,,,,,,,,,,
463,65,,,,,,,,,,,,,
464,0.2899,0.63,13.5,28,,,,,,,,,,
465,0.5,,,,,,,,,,,,,
466,8,12,,,,,,,,,,,,
467,,,,,,,,,,,,,,
468,15,16,32,46,,,,,,,,,,
469,,,,,,,,,,,,,,
470,,,,,,,,,,,,,,
471,,,,,,,,,,,,,,
472,,,,,,,,,,,,,,
473,,,,,,,,,,,,,,
474,3.5,6.75,25,,,,,,,,,,,
475,2.6,,,,,,,,,,,,,
476,12,5.5,11,,,,,,,,,,,
477,0.63,1.5,1.99,,,,,,,,,,,
478,,,,,,,,,,,,,,
479,0.199,0.43,1.58,1.91,,,,,,,,,,
480,1.6969,0.555,18.99790533,50,,,,,,,,,,
481,4.2069,,,,,,,,,,,,,
482,1.05,,,,,,,,,,,,,
483,1,43,,,,,,,,,,,,
484,0.13,,,,,,,,,,,,,
485,,,,,,,,,,,,,,
486,13.8,14.83,21.98744417,,,,,,,,,,,
487,0.63,1.61,,,,,,,,,,,,
488,12,,,,,,,,,,,,,
489,3.4,7.033417822,5,,,,,,,,,,,
490,,,,,,,,,,,,,,
491,15,,,,,,,,,,,,,
492,0.75,,,,,,,,,,,,,
493,0.7,1.5,44,,,,,,,,,,,
494,,,,,,,,,,,,,,
495,,,,,,,,,,,,,,
496,,,,,,,,,,,,,,
497,,,,,,,,,,,,,,
498,,,,,,,,,,,,,,
499,,,,,,,,,,,,,,
500,,,,,,,,,,,,,,
501,,,,,,,,,,,,,,
502,,,,,,,,,,,,,,
503,38,,,,,,,,,,,,,
504,8,15,18.69,48,,,,,,,,,,
505,,,,,,,,,,,,,,
506,14.3,35,42.69,,,,,,,,,,,
507,5,,,,,,,,,,,,,
508,8,,,,,,,,,,,,,
509,,,,,,,,,,,,,,
510,,,,,,,,,,,,,,
511,7.5,9.25,12.5,28,,,,,,,,,,
512,4,,,,,,,,,,,,,
513,6,,,,,,,,,,,,,
514,,,,,,,,,,,,,,
515,,,,,,,,,,,,,,
516,11,13.98,,,,,,,,,,,,
517,,,,,,,,,,,,,,
518,46,,,,,,,,,,,,,
519,,,,,,,,,,,,,,
520,,,,,,,,,,,,,,
521,,,,,,,,,,,,,,
522,2,3.1,4.8,,,,,,,,,,,
523,,,,,,,,,,,,,,
524,,,,,,,,,,,,,,
525,0.369,7.7,9.25,16.75,,,,,,,,,,
526,10,,,,,,,,,,,,,
527,,,,,,,,,,,,,,
528,6.5,,,,,,,,,,,,,
529,0.888,0.99,18.98,55,,,,,,,,,,
530,0.19,0.5,,,,,,,,,,,,
531,0.5,38,,,,,,,,,,,,
532,,,,,,,,,,,,,,
533,5.16,5.939,,,,,,,,,,,,
534,0.69,0.7,55,,,,,,,,,,,
535,,,,,,,,,,,,,,
536,44,,,,,,,,,,,,,
537,,,,,,,,,,,,,,
538,,,,,,,,,,,,,,
539,0.79,1.8,2.6,15.5,40,,,,,,,,,
540,,,,,,,,,,,,,,
541,,,,,,,,,,,,,,
542,10.9999,,,,,,,,,,,,,
543,0.31,0.379,,,,,,,,,,,,
544,73,,,,,,,,,,,,,
545,0.35,0.3999,1.99,,,,,,,,,,,
546,35,64,155,,,,,,,,,,,
547,0.95,,,,,,,,,,,,,
548,4,4.5,,,,,,,,,,,,
549,0.24,0.437,0.32,0.8,1.5,2.1,2.25,,,,,,,
550,15,22,,,,,,,,,,,,
551,0.08,0.08,0.49,0.34,0.9888,1.59,,,,,,,,
552,0.08,0.65,0.549,,,,,,,,,,,
553,0.08,1.44,,,,,,,,,,,,
554,0.08,0.56,0.62,1.7,1.88,1.59,,,,,,,,
555,0.777,,,,,,,,,,,,,
556,,,,,,,,,,,,,,
557,3,,,,,,,,,,,,,
558,2.5,3.7,6.5,,,,,,,,,,,
559,,,,,,,,,,,,,,
560,0.599,0.79,0.94,,,,,,,,,,,
561,3.67,,,,,,,,,,,,,
562,55,,,,,,,,,,,,,
563,,,,,,,,,,,,,,
564,0.9463539658,3.1,8.75,15,19,24.49,,,,,,,,
565,0.82,23,,,,,,,,,,,,
566,0.4455,,,,,,,,,,,,,
567,0.16,42,,,,,,,,,,,,
568,0.5,,,,,,,,,,,,,
569,0.777,2.4,3.4999,8.88,,,,,,,,,,
570,0.425,14.15,14.95,36,35.55,,,,,,,,,
571,0.4,0.37,0.85,0.97,1.07,37.95,,,,,,,,
572,0.41,0.41,,,,,,,,,,,,
573,0.41,40,45,,,,,,,,,,,
574,0.35,0.45,,,,,,,,,,,,
575,0.4,,,,,,,,,,,,,
576,2.69,,,,,,,,,,,,,
577,0.134,0.2999,0.9,2.24,,,,,,,,,,
578,,,,,,,,,,,,,,
579,,,,,,,,,,,,,,
580,0.4,,,,,,,,,,,,,
581,2.248255752,2.95,2.955,4.49,5.5,7.469,,,,,,,,
582,10,69.69,110,,,,,,,,,,,
583,0.32,6.21,7.56,35,37,,,,,,,,,
584,0.25,0.5,,,,,,,,,,,,
585,0.49,2.8,,,,,,,,,,,,
586,0.1,4.6,9.9,37,49.69,,,,,,,,,
587,9,24,,,,,,,,,,,,
588,0.25,,,,,,,,,,,,,
589,0.479,2,,,,,,,,,,,,
590,0.2,74.69,,,,,,,,,,,,
591,1.8,,,,,,,,,,,,,
592,1,1.25,,,,,,,,,,,,
593,2,,,,,,,,,,,,,
594,1,3.8383,,,,,,,,,,,,
595,1,,,,,,,,,,,,,
596,,,,,,,,,,,,,,
597,0.75,,,,,,,,,,,,,
598,1.75,,,,,,,,,,,,,
599,1,2.99,6,33.5,46.6,,,,,,,,,
600,,,,,,,,,,,,,,
601,2,3.88,5.8,6.29,40,42,,,,,,,,
602,1,5.15,9.5,,,,,,,,,,,
603,1.75,6,6.6666,7.89,,,,,,,,,,
604,1,4.7,5.99,,,,,,,,,,,
605,2.4,1.87,2.5,4.4,,,,,,,,,,
606,2,,,,,,,,,,,,,
607,1,2.2,,,,,,,,,,,,
608,4.9,3.5,,,,,,,,,,,,
609,1.89,1.5,,,,,,,,,,,,
610,2,10,,,,,,,,,,,,
611,1,1.2,1.65,3.333,3.3,4.8,13.1,16.99,,,,,,
612,,,,,,,,,,,,,,
613,2,1.812,2.9999,,,,,,,,,,,
614,2.5,5,,,,,,,,,,,,
615,0.25,0.38,,,,,,,,,,,,
616,0.4852355713,,,,,,,,,,,,,
617,0.355,6,20,,,,,,,,,,,
618,0.3499,,,,,,,,,,,,,
619,0.6,,,,,,,,,,,,,
620,0.55,29,,,,,,,,,,,,
621,4.3,5.9999,16,,,,,,,,,,,
622,,,,,,,,,,,,,,
623,4.207,10.2,,,,,,,,,,,,
624,0.333,,,,,,,,,,,,,
625,0.333,0.35,8.25,40,38.49,,,,,,,,,
626,10,9.49,11.52,16.39,22,,,,,,,,,
627,0.75,14.5,38,42.6,,,,,,,,,,
628,0.46,0.29,,,,,,,,,,,,
629,39.5,36.69,,,,,,,,,,,,
630,0.5,12.5,38,,,,,,,,,,,
631,,,,,,,,,,,,,,
632,1.25,4.7,,,,,,,,,,,,
633,0.432,0.5499,4.5,,,,,,,,,,,
634,0.34,0.98,3.09,6.2,17.3,,,,,,,,,
635,0.49,3.99,4.9,,,,,,,,,,,
636,,,,,,,,,,,,,,
637,0.3,0.449,,,,,,,,,,,,
638,,,,,,,,,,,,,,
639,8,8.5,38.99,33,,,,,,,,,,
640,5,,,,,,,,,,,,,
641,3.25,14,18.5,,,,,,,,,,,
642,0.452,,,,,,,,,,,,,
643,4,10,,,,,,,,,,,,
644,,,,,,,,,,,,,,
645,,,,,,,,,,,,,,
646,,,,,,,,,,,,,,
647,0.3575,7.06,12,16.9,,,,,,,,,,
648,31,,,,,,,,,,,,,
649,,,,,,,,,,,,,,
650,,,,,,,,,,,,,,
651,,,,,,,,,,,,,,
652,0.11,99,,,,,,,,,,,,
653,,,,,,,,,,,,,,
654,0.46,0.5599,2.4,3.06816609,2.95,,,,,,,,,
655,0.462,0.5999,,,,,,,,,,,,
656,2.680191281,69.42,,,,,,,,,,,,
657,4.2,5,,,,,,,,,,,,
658,0.49,0.52,,,,,,,,,,,,
659,1.5,24,,,,,,,,,,,,
660,6,,,,,,,,,,,,,
661,3.98,,,,,,,,,,,,,
662,0.2789,2.88,7.99,8.371435704,,,,,,,,,,
663,0.08,0.089,,,,,,,,,,,,
664,0.2389,4.2,3.4,3.35,4.2,37.5,42,37,,,,,,
665,0.08,1.1,1.4,,,,,,,,,,,
666,,,,,,,,,,,,,,
667,0.328,1.4,3.4,39,,,,,,,,,,
668,0.5,8,,,,,,,,,,,,
669,,,,,,,,,,,,,,
670,,,,,,,,,,,,,,
