0,0.01
665,20.1192,1.4
666,25.149
667,25.149,39.0
668,25.149,8.0
669,22.6341
670,25.149
671,25.149,0.4209
672,25.149
673,25.149,17.5
674,25.90347
675,25.149
676,25.149,61.0
677,25.149
678,20.1192
679,20.1192
680,25.149
681,25.149
682,25.90347
683,25.149
684,25.149
685,25.149
686,25.149
687,25.149,43.0
688,25.149
689,25.149
690,25.90347,56.0
691,25.149,0.49
692,25.149,0.5
693,25.149,1.0705627705627705
694,25.149,1.3
695,25.149,39.0
696,25.90347,65.0
697,25.149
698,25.149
699,25.149
700,25.149
701,25.149,37.0
702,25.90347
703,25.149
704,25.149
705,25.149,38.09
706,25.149,1.3
707,25.149
708,25.149,1.98
709,25.149,0.63
710,25.149,5.63582985926118
711,25.149
712,25.149
713,25.149,35.0
714,25.149,45.0
715,25.149,0.4
716,25.149,0.59
717,25.149,31.5566
718,25.149,2.4
719,25.149,0.34
720,25.149,1.079
721,25.149
722,25.149,21.0
723,25.149,1.69
724,25.149,6.5
725,25.149,4.99
726,25.149,0.99
727,25.90347,1.65
728,25.149,53.0
729,25.149,0.89
730,25.149,3.55
731,20.1192,1.89
732,25.149,0.5
733,25.149,0.34
734,25.149,0.62
735,25.149,13.99
736,25.149,47.0
737,25.149,0.925
738,25.149,0.19
739,25.90347
740,25.149,32.5
741,25.149,45.0
742,25.149,0.12
743,25.149,1.99
744,22.6341,28.0
745,25.149,42.0
746,25.149
747,25.149
748,25.149,40.8888
749,25.149,32.0
750,25.149,1.25
751,25.149,6.3
752,25.149,0.5
753,25.149,11.5
754,25.149,1.88
755,25.149,2.3820741435945565
756,25.149,9.99
757,25.149,0.08
758,25.149,5.5
759,25.149,0.22
760,25.149,36.5
761,25.149,7.25
762,22.6341,1.5
763,25.149,0.44
764,25.149,12.5
765,25.149,4.5
766,25.149,0.579
767,25.149,25.0
768,25.149,1.19
769,25.149,19.9
770,25.149,0.39
771,22.6341,0.3817745474492594
772,25.149,1.8
773,20.1192,21.99707571982815
774,25.149,0.59
775,25.149,0.4555
776,25.149,42.9
777,22.6341,0.77
778,25.149
779,25.149,8.5
780,25.149,1.5
781,25.149,5.88
782,25.149,45.0
783,25.149,4.2
784,25.90347,16.0
785,25.90347,0.55
786,25.149,0.39
787,25.149,41.0
788,25.149,1.93
789,25.149,45.0
790,25.149,13.5
791,25.149,38.0
792,25.149,65.0
793,25.90347,5.0
794,25.149,0.13
795,25.149,0.15
796,25.149,48.48
797,25.149,0.96
798,25.149,18.0
